zip,municipality,state,county,house_price,condo_price,crime_rate,school
33321,Tamarac,FL,Broward,171600,85400,62,3
33322,Sunrise,FL,Broward,232700,49500,44,3
33323,Sunrise,FL,Broward,261600,292000,89,0
33324,Plantation,FL,Broward,315000,130600,61,5
33325,Davie,FL,Broward,336200,null,54,0
33326,Weston,FL,Broward,370200,164000,41,1
33327,Weston,FL,Broward,458000,null,43,0
33328,Davie,FL,Broward,325600,138600,44,1
33330,Cooper City,FL,Broward,560700,null,35,4
33331,Weston,FL,Broward,432600,316400,33,4
33332,Weston,FL,Broward,554200,440500,45,5
33334,Oakland Park,FL,Broward,231100,101200,203,3
33351,Sunrise,FL,Broward,216400,87100,104,4
33441,Deerfield Beach,FL,Broward,229500,117100,152,5
33442,Deerfield Beach,FL,Broward,248900,54300,38,0
